en_tok,de_tok
it is certain that he will come .,"es ist sicher , dass er kommt ."
isn ' t tom great ?,ist tom nicht großartig ?
my orders are to go with you .,"mein befehl lautet , mit dir zu gehen ."
toss it into the trash .,wirf s weg !
they want to get married .,sie wollen heiraten .
i ' ve got to go to work .,ich muss zur arbeit .
get your clothes on .,zieh dich an !
tom doesn ' t have to know .,tom braucht es nicht zu wissen .
there are many factories in this part of the city .,in diesem teil der stadt gibt es viele fabriken .
tom is the boy who broke the window .,"tom ist der junge , der das fenster eingeworfen hat ."
i ' m not an a student .,ich bin kein einserkandidat .
the doctor gave me a shot .,der arzt hat mir eine spritze gegeben .
"except for tom , everyone laughed .","alle lachten , nur tom nicht ."
can you recommend a reasonably priced guest house ?,können sie eine preiswerte pension empfehlen ?
your dog looks hungry .,euer hund sieht hungrig aus .
is this car yours ?,ist das hier dein wagen ?
tom is too drunk to drive .,tom ist zu betrunken zum fahren .
you ' re nervous .,du bist nervös .
i hope it ' s not tom .,"ich hoffe , dass es nicht tom ist ."
i want you to stop singing .,"ich will , dass sie aufhören zu singen ."
may i ask you what your weight is ?,darf ich nach ihrem gewicht fragen ?
don ' t be so sure .,seid euch nicht so sicher !
where does this train go ?,wohin fährt der zug ?
did you let tom kiss you ?,"hast du tom erlaubt , dich zu küssen ?"
enjoy your meal .,lassen sie sich ' s schmecken !
i don ' t need a history lesson .,ich brauche keine geschichtsstunde .
it ' s very rude of you to say a thing like that .,"es ist sehr unhöflich von ihnen , so etwas zu sagen ."
this coat is rainproof .,dieser mantel ist wasserabweisend .
tom tried not to panic .,"tom gab sich mühe , nicht in panik zu verfallen ."
that was the last roll of toilet paper .,das war die letzte toilettenpapierrolle .
nobody knows how long they ' ll live .,"niemand weiß , wie lange er lebt ."
"excuse me , but may i use your telephone ?","entschuldigung , kann ich bitte ihr telefon benützen ?"
please go outside and find out what ' s happening .,"geh bitte nach draußen und sieh nach , was vor sich geht ."
you still don ' t look very happy .,du siehst immer noch nicht sehr glücklich aus .
tom said that he ' d never eaten such a delicious meal before .,"tom sagte , dass er nie zuvor ein derart köstliches mahl zu sich genommen habe ."
nice to see you .,"schön , dich zu sehen !"
tom said he didn ' t want anything to drink .,"tom sagte , er wolle nichts zu trinken ."
i couldn ' t remember ever having met her .,"ich konnte mich nicht daran erinnern , sie jemals getroffen zu haben ."
i think this one is good .,"ich denke , dieses ist gut ."
mary keeps her best dishes in that cabinet .,ihr bestes geschirr hat maria in dem schrank da stehen .
i didn ' t know you had a car .,"ich wußte nicht , daß ihr einen wagen habt ."
tom fell from the top bunk .,tom fiel vom hochbett .
i saw a ghost last night .,letzte nacht sah ich einen geist .
are you still studying french ?,lernst du noch französisch ?
tom wouldn ' t believe me .,tom wollte mir nicht glauben .
you should ' ve asked us for help .,ihr hättet uns um hilfe bitten sollen .
the pen is mightier than the sword .,der stift ist stärker als das schwert .
he knows how to make good use of his time .,"er versteht es , seine zeit gut einzuteilen ."
please translate these sentences into french .,übersetze diese sätze bitte ins französische .
what exactly did you mean by that ?,was genau habt ihr damit gemeint ?
why didn ' t you do it ?,warum hast du das nicht getan ?
he was cheating .,er betrog .
i still don ' t know your name .,"ich weiß immer noch nicht , wie du heißt ."
what would ' ve happened if tom hadn ' t done that ?,"was wäre passiert , wenn tom das nicht gemacht hätte ?"
don ' t forget to tell tom that he has to do that .,"vergessen sie nicht , tom zu sagen , daß er das muß !"
i don ' t like this .,mir gefällt das nicht .
we really don ' t need any more volunteers .,wir brauchen keine freiwilligen mehr .
there was an anxious silence in the room .,angstvolles schweigen herrschte im saal .
it was nothing but the shadow of a tall tree .,es war lediglich der schatten eines hohen baumes .
tom is a good music teacher .,tom ist ein guter musiklehrer .
she is in love with him .,sie ist in ihn verliebt .
it ' s not urgent .,es pressiert nicht .
we ' re all going to miss tom .,tom wird uns allen fehlen .
you ' ve been warned .,man hat euch gewarnt .
he speaks english with a german accent .,er spricht englisch mit einem deutschen akzent .
i wasn ' t at home .,ich war nicht zu hause .
we have an offer for you .,wir haben ein angebot für sie .
did you see any soldiers ?,habt ihr soldaten gesehen ?
tom borrowed a videogame from a friend .,tom hat sich von einem freund ein videospiel geliehen .
didn ' t it occur to you to shut the windows ?,"ist es euch nicht in den sinn gekommen , die fenster zu schließen ?"
you helped a great deal .,du warst eine große hilfe .
tom has been fired three times .,tom ist bereits dreimal entlassen worden .
there ' s something i have to tell you .,"es gibt da etwas , was ich ihnen sagen muss ."
tom is surviving .,tom überlebt .
proverbs are still very popular in america .,sprichwörter sind noch sehr populär in amerika .
tom kept me waiting for more than minutes .,tom ließ mich über eine halbe stunde warten .
what did you say these are called ?,"wie , sagtest du , nenne sich das ?"
i felt uncomfortable .,ich fühlte mich unwohl .
tom swam in the river .,tom ist im fluss geschwommen .
you must study hard .,sie müssen fleißig lernen .
i adore my grandchildren .,ich liebe meine enkel .
tom is perfect for the job .,tom ist genau der richtige für diese aufgabe .
we ' ve got to take care of it .,wir müssen uns darum kümmern .
i just need to find out why .,ich muss bloß hinter den grund kommen .
why did you buy flowers ?,warum haben sie blumen gekauft ?
tom put the diary in the drawer .,tom legte sein tagebuch in die schublade .
can we hurry this up ?,können wir das hier ein bisschen beschleunigen ?
"the next morning , he was gone .",am nächsten morgen war er fort .
this is an apple tree .,dies ist ein apfelbaum .
this is going to be easy .,das wird leicht .
that ' s what we want .,"das ist es , was wir wollen ."
he hurt himself during yesterday ' s game .,er verletzte sich während des gestrigen spiels .
i feel that i don ' t really belong here .,"ich habe das gefühl , nicht recht hierherzugehören ."
i only have time for coffee .,ich habe nur zeit für einen kaffee .
nothing will make up for his past mistakes .,nichts kann seine früheren fehler wiedergutmachen .
she was ill for a long time .,sie war lange krank .
you ' re a much better singer than tom is .,du bist ein viel besserer sänger als tom .
i travel a lot .,ich reise viel .
i ' m tom ' s new secretary .,ich bin toms neuer sekretär .
you can ' t argue with that .,dagegen kann man nichts sagen .
i ' m not too worried about tom .,um tom mache ich mir keine großen sorgen .
how often do you eat chocolate ?,wie oft isst du schokolade ?
there is no chance of rain today .,heute gibt es keine aussicht auf regen .
i warned him about the danger .,ich warnte ihn vor der gefahr .
this word is both a noun and a verb .,dieses wort ist beides ein substantiv und ein verb .
you still look confused .,sie machen immer noch einen verwirrten eindruck .
both tom and i don ' t understand french at all .,"tom und ich , wir verstehen alle beide überhaupt kein französisch ."
do you have a duster ?,haben sie einen staubwedel ?
where are you at the moment ?,wo halten sie sich gerade auf ?
we want to help tom .,wir wollen tom helfen .
we helped tom .,wir halfen tom .
i ' m supposed to make sure tom doesn ' t forget to buy the tickets .,"ich soll dafür sorgen , dass tom nicht vergisst , die fahrkarten zu kaufen ."
"tom deposited , dollars in his saving account .",tom zahlte tausend dollar auf sein sparkonto ein .
people around the world are getting fatter .,rund um die welt werden die leute dicker .
i wish that you ' d stick around and help us .,"ich wünschte , du würdest noch bleiben und uns helfen ."
tom and i hang out together .,ich treffe mich oft mit tom .
the train slowed down and finally came to a halt .,der zug fuhr langsamer und hielt schließlich an .
that ' s not very compassionate .,das ist nicht sehr mitfühlend .
you ' ll be glad you didn ' t do that .,"ihr werdet froh sein , das nicht getan zu haben ."
tom didn ' t want to tell mary about what had happened .,"tom wollte mary nicht sagen , was geschehen war ."
i think tom isn ' t right .,"ich denke , tom hat nicht recht ."
"tom doesn ' t wear jeans every day , but he does often wear jeans .","tom trägt zwar nicht jeden tag jeans , aber schon oft ."
maybe this only happens in australia .,vielleicht passiert das nur in australien .
tom must ' ve been a great teacher .,tom muss ein toller lehrer gewesen sein .
what woke you up ?,was hat dich geweckt ?
do you have any proof ?,hast du einen beweis ?
i heard someone laughing .,ich hörte jemanden lachen .
she told me you were sick .,"sie sagte mir , daß du krank seist ."
would you like more mashed potatoes ?,möchtest du noch mehr kartoffelmus ?
"i ' m not going to kiss you , tom .","ich werde dich nicht küssen , tom ."
do you not like wine ?,magst du keinen wein ?
she was sitting there with her eyes closed .,sie saß mit geschlossenen augen da .
could you watch the kids ?,könntet ihr auf die kinder aufpassen ?
when was the last time you used a compass ?,wann haben sie das letztemal einen kompaß benutzt ?
i wish i could make up for lost time .,"ich wünschte , ich könnte die verlorene zeit wiedergutmachen ."
i don ' t think so .,ich denke nicht so .
let tom in .,lasst tom rein .
"if it rains tomorrow , i won ' t go to the picnic .","falls es morgen regnet , werde ich nicht picknicken gehen ."
tom changed everything .,tom hat alles geändert .
i was waiting for you .,ich habe auf sie gewartet .
i don ' t feel like going out for a walk .,ich habe keine lust spazieren zu gehen .
don ' t open the doors .,öffne nicht die türen !
he turned traitor .,er wurde zum verräter .
i think things are going well .,"ich denke , dass die dinge gut laufen ."
who did tom vote for ?,für wen hat tom gestimmt ?
remove the beaters from the mixer before you lick them .,"nimm die rührstäbe vom mixer ab , bevor du sie ableckst ."
were all your children born in boston ?,sind deine kinder alle in boston auf die welt gekommen ?
is this glass mine ?,ist das mein glas ?
please insert your card .,bitte führen sie ihre karte ein !
i never found what i was looking for .,"ich fand nie , wonach ich suchte ."
i was too nervous to eat .,"ich war zu nervös , um etwas zu essen ."
the train departs at half past two .,der zug fährt um halb drei ab .
tom spent a lot of time reading books .,tom brachte viel zeit mit bücherlesen zu .
i saw a cottage in the distance .,ich sah eine hütte in der ferne .
no one can escape growing old .,niemand kann dem älterwerden entgehen .
may i have a look at that ?,darf ich mir das einmal ansehen ?
i feel very sick .,mir geht es sehr schlecht .
how do you know that they ' re canadians ?,"woher weißt du , dass sie kanadier sind ?"
that ' s what we have to do .,"das ist es , was wir tun müssen ."
"what do you want , tom ?","was willst du , tom ?"
are you famous ?,bist du berühmt ?
i think you should let tom do that by himself .,"ich finde , daß du tom das allein machen lassen solltest ."
it happened .,es ist geschehen .
tom turned off the tv .,tom stellte den fernseher aus .
is the horse black ?,ist das pferd schwarz ?
i can type very fast .,ich kann sehr schnell tippen .
tom liked that idea .,tom gefiel die idee .
adversity is the test of friendship .,wahre freunde erkennt man in der not .
this isn ' t the first time that you ' ve been late .,"das ist nicht das erste mal , dass du zu spät kommst ."
can you make us some breakfast ?,kannst du uns etwas zum frühstück machen ?
that was one reason we decided to go to boston .,"das war einer der gründe , warum wir uns entschieden haben , nach boston zu gehen ."
i rejected the offer .,ich habe das angebot abgelehnt .
that meant a whole lot to me .,das hat mir sehr viel bedeutet .
tom has decided to have the surgery .,"tom hat sich dafür entschieden , die operation machen zu lassen ."
what an expensive piano !,was für ein teures klavier !
tom ' s picture is on the front page of today ' s newspaper .,auf der titelseite der zeitung von heute ist ein bild von tom .
they told us they wanted to call off the mission .,"tom teilte uns mit , dass sie den einsatz absagen wollten ."
do you want to learn french ?,willst du französisch lernen ?
"speech is silver , silence is gold .","reden ist silber , schweigen ist gold ."
tom is the richest man in town .,tom ist der reichste mann der stadt .
i didn ' t know who else to ask .,"ich wusste nicht , wen ich sonst fragen sollte ."
did you season the meat ?,hast du das fleisch gewürzt ?
i expect you to pay off all your debts .,"ich erwarte von ihnen , dass sie all ihre schulden abbezahlen ."
how old are your daughters ?,wie alt sind ihre töchter ?
i believe there ' s a mistake here .,"ich glaube , hier liegt ein fehler vor ."
tom got the short end of the stick .,tom zog den kürzeren .
tom would make an excellent spy .,tom wäre ein hervorragender spion .
how much money can you borrow ?,wieviel geld können sie sich leihen ?
we must be alert to dangers .,wir müssen vor gefahren auf der hut sein .
i want you to study french .,"ich möchte , dass du französisch lernst ."
mary is tom ' s girlfriend .,maria ist toms freundin .
tom is well liked by his students .,tom ist bei seinen schülern sehr beliebt .
tom is very tall .,tom ist sehr groß .
she gets up early every morning .,sie steht jeden morgen früh auf .
"when i woke up , it was raining .","als ich aufwachte , regnete es ."
it ' s your decision entirely .,das ist einzig und allein deine entscheidung .
tom seemed surprised at the news .,tom schien von der nachricht überrascht zu sein .
that ' s also an option .,das ist auch eine option .
that ' s a big step .,das ist ein großer schritt .
he tried to attract her attention .,"er hat versucht , ihre aufmerksamkeit zu gewinnen ."
is tom any good at baseball ?,ist tom im baseball zu gebrauchen ?
the heavy door swung open .,die schwere tür schwang auf .
"when tom woke up , mary was taking a shower .","als tom aufwachte , duschte maria gerade ."
he understands french .,er versteht französisch .
you never told me tom was a lawyer .,"du hast mir nie gesagt , daß tom anwalt ist ."
i like to learn new things .,ich lerne gerne etwas neues .
you ' ve got problems .,ihr habt probleme .
i didn ' t expect this question .,diese frage habe ich nicht erwartet .
he dumped me .,er hat mit mir schluss gemacht .
i have never seen anyone like him .,ich habe noch nie jemanden wie ihn gesehen .
"by the way , i have something to tell you .","übrigens , ich muss dir etwas sagen ."
promise me you ' ll do that .,"versprecht mir , dass ihr das tun werdet !"
our restaurant is the best .,unser restaurant ist das beste .
the bad harvest caused massive food shortages .,die schlechte ernte verursachte eine massive lebensmittelknappheit .
tom broke up with mary and started dating alice .,tom machte mit maria schluss und ging eine beziehung mit elke ein .
we value our customers .,wir schätzen unsere kunden .
i really hope so .,das will ich hoffen !
everyone watched .,alle sahen zu .
tom is taller than his brother .,tom ist größer als sein bruder .
what do you suggest ?,was schlagen sie vor ?
i ' m not your slave .,ich bin nicht dein sklave .
tom and mary both saw the accident .,tom und maria haben den unfall beide gesehen .
i ' m not letting tom go .,ich lasse tom nicht gehen .
have you told him yet ?,hast du s ihm schon gesagt ?
it was painless .,es war schmerzlos .
i ' d like to show you something .,ich möchte dir etwas zeigen .
you need to get out of the house more .,sie müssen öfter mal das haus verlassen .
i really appreciated it .,ich wusste es sehr zu würdigen .
brush your teeth before going to bed .,"putz deine zähne , bevor du ins bett gehst ."
"may i have a napkin , please ?",könnte ich bitte eine serviette haben ?
the students adore the new english teacher .,die schüler lieben den neuen englischlehrer .
today you can eat as much as you want .,"du darfst heute so viel essen , wie du willst ."
i ' m sure tom will be bored .,tom wird sich bestimmt langweilen .
i thought that i could settle it by phone .,"ich dachte , ich könnte es per telefon erledigen ."
thank goodness that polio has been eradicated .,gottseidank ist polio ausgerottet worden .
you ' re jealous .,ihr seid eifersüchtig .
there is a large choice of bags in this shop .,in dem geschäft gibt es eine große auswahl an taschen .
he broke his promise .,er hat sein versprechen gebrochen .
i ' m sorry that i can ' t meet you tonight .,"ich bedaure , dass ich dich heute abend nicht treffen kann ."
you haven ' t told me your name yet .,du hast mir deinen namen noch nicht gesagt .
i lent my younger brother some money .,ich habe meinem jüngeren bruder geld geliehen .
tom was hard to please .,"es war schwer , es tom recht zu machen ."
"a cup of tea , please .",eine tasse tee bitte .
"no , that ' s not true .","nein , das ist nicht wahr ."
let ' s not rush into it .,nichts überstürzen .
i can ' t swim well .,ich kann nicht gut schwimmen .
did you see any lions ?,sehr ihr löwen ?
why did ancient egyptians love jewels so much ?,warum hatten die alten ägypter eine solche vorliebe für juwelen ?
i think that tom lied to me .,"ich glaube , tom hat mich belogen ."
you ' ve got to sign your name .,sie müssen unterschreiben .
an elephant is a strong animal .,ein elefant ist ein starkes tier .
he reads a good deal .,er liest viel .
aren ' t you even curious ?,sind sie denn gar nicht neugierig ?
i have the house all to myself .,ich habe das haus ganz für mich allein .
many people know how to do that .,das können viele .
stand at ease !,rührt euch !
fancy meeting you here .,"wer hätte das gedacht , daß ich dich hier treffen würde !"
would you like to sit ?,möchten sie sich setzen ?
why give it to me now ?,warum gibst du es jetzt mir ?
my french teacher is the same age as me .,meine französischlehrerin ist genauso alt wie ich .
do you know what time they came ?,"weißt du , wann sie gekommen sind ?"
he is the father of three children .,er ist vater von drei kindern .
the postman was in a good mood this morning .,der briefträger hatte heute morgen gute laune .
do you want to leave today ?,möchtest du heute gehen ?
the boy drew a picture on the wall .,der junge zeichnete ein bild an die wand .
i can buy that for you .,ich kann das für sie kaufen .
"owing to the bad weather , the game was put off .",wegen des schlechten wetters wurde das spiel verschoben .
go get a drink of water .,hol mir mal ein glas wasser .
let ' s talk about ways we could help .,"laß uns darüber reden , wie wir helfen könnten !"
tom says that he can ' t do anything about that .,"tom sagt , dass er nichts dagegen tun könnte ."
i know who to call when i need help .,"ich weiß , wen ich anrufen kann , wenn ich hilfe brauche ."
they ' ve been unusually quiet .,sie waren ungewöhnlich still .
we provided them with money and clothes .,wir gaben ihnen geld und kleidung .
try to see the problem from her point of view .,"versuchen sie , das problem aus ihrem blickwinkel zu sehen ."
the stamp came off .,die briefmarke löste sich .
the document passed into the enemy ' s hands .,das dokument gelangte in die hände des feindes .
don ' t you ever say anything ?,sagen sie nie etwas ?
it was a traumatic experience .,das war eine traumatische erfahrung .
would you mind if i did that today ?,"würde es ihnen etwas ausmachen , wenn ich das heute täte ?"
please tell me what you think .,"bitte sagt mir , was ihr denkt !"
tom almost cried .,tom weinte fast .
please give me my bag .,bitte gebt mir meine tasche .
most of what you ' ve just said is true .,"das meiste von dem , was du gerade sagtest , stimmt ."
could you please wait a minute ?,könnte sie bitte einen augenblick warten ?
tom told me not to smoke .,"tom sagte mir , ich solle nicht rauchen ."
tom said nothing about mary ' s black eye .,tom sagte nichts zu marys blauem auge .
tom said that he was aching all over .,"tom sagte , ihm tue alles weh ."
i do it because i enjoy it .,"ich tue es , weil es mir spaß macht ."
please let me do it .,bitte lass mich das machen .
we live there .,wir wohnen da .
everyone knows we didn ' t do that .,"jeder weiß , dass wir das nicht getan haben ."
the bill needs to be paid today .,die rechnung muss heute bezahlt werden .
my father neither drinks nor smokes .,"mein vater trinkt weder , noch raucht er ."
how do you plan to do it ?,wie willst du das anstellen ?
can you meet him ?,kannst du dich mit ihm treffen ?
i watch a lot of gangster movies .,ich sehe viele ganovenfilme .
pass me the water .,reiche mir das wasser !
"oh , i just remembered . tom left you a message .","oh , da ist mir gerade etwas eingefallen tom hat dir eine nachricht dagelassen ."
when could you do that ?,wann könnten sie das tun ?
i ' m glad to hear tom is well .,"ich freue mich zu hören , dass es tom gutgeht ."
your o ' s look like a ' s .,deine o sehen aus wie a .
it ' s impossible not to love you .,"es ist unmöglich , dich nicht zu lieben ."
i have to send these letters .,ich muss diese briefe verschicken .
it is hard to wake up without a strong cup of coffee .,es ist schwierig wach zu werden ohne eine starke tasse kaffee .
blaming others won ' t help .,andere beschuldigen hilft auch nicht .
i can hardly stand it .,ich kann es kaum ertragen .
he put milk in his coffee .,er hat milch in seinen kaffee getan .
when was the last time you saw your boyfriend ?,"wann war das letzte mal , als du deinen freund gesehen hast ?"
tom is holding a tennis racket .,tom hält einen tennisschläger .
let ' s try something .,lass uns mal was ausprobieren .
it ' s time to go out .,es ist zeit rauszugehen .
tom says he didn ' t know mary wanted to move to boston .,"tom hat gesagt , daß er nicht gewußt habe , daß maria nach boston ziehen will ."
is it quiet where you live ?,"ist es dort ruhig , wo du wohnst ?"
we ' ll fail .,wir werden durchfallen .
i don ' t swim as well as you do .,ich kann nicht so gut schwimmen wie du .
do you want to know how i did that ?,"willst du wissen , wie ich das gemacht habe ?"
i pushed the wrong button .,ich habe auf den falschen knopf gedrückt .
i ' d like to become a better person .,ich möchte ein besserer mensch werden .
how important are children to you ?,wie wichtig sind dir kinder ?
don ' t pay attention to what tom says .,"schenken sie dem , was tom sagt , keine beachtung !"
tom is a bad liar .,tom ist ein schlechter lügner .
tom didn ' t know where mary wanted him to put her suitcases .,"tom wusste nicht , wo er marias koffer für sie hinstellen sollte ."
is it really possible to predict an earthquake ?,"ist es wirklich möglich , ein erdbeben vorherzusehen ?"
i didn ' t notice anything .,mir ist nichts aufgefallen .
it ' s a great pleasure to meet you .,"es ist mir eine große freude , sie kennenzulernen !"
tom started studying french last year .,"tom hat letztes jahr angefangen , französisch zu lernen ."
you promised that you ' d go with me .,"du hast versprochen , daß du mitkämest ."
i was sleepy .,ich war schläfrig .
i first met tom when i was going out with his sister .,"ich habe tom kennengelernt , als ich mit seiner schwester zusammen war ."
it ' s ok to ask questions .,du darfst gerne fragen stellen .
how many deaf workers did you employ ?,wie viele taube arbeiter haben sie eingestellt ?
tom was crafty .,tom war schlau .
where would i find books ?,wo würde ich bücher finden ?
how does tom intend to fix this ?,wie will tom das reparieren ?
i ' ll go on my own .,ich gehe alleine .
i ' ve decided to tell tom that i love him .,"ich habe beschlossen , tom zu sagen , dass ich ihn liebe ."
i have to work now .,ich muss jetzt arbeiten .
i ' ve had enough of this mess .,ich habe genug von diesem mist !
that was very considerate of tom .,das war sehr umsichtig von tom .
i ' m not trying to make you feel bad .,ich will ihnen kein schlechtes gewissen machen .
tom and john are brothers .,tom und johannes sind brüder .
tom isn ' t alone .,tom ist nicht alleine .
tom must have a partner .,tom muß einen partner haben .
did you want something ?,wolltet ihr etwas ?
please pass me the sugar .,bitte reiche mir den zucker .
we went to the movies .,wir sind ins kino gegangen .
"say that again , please .",bitte sagt das nochmal .
we ' ve already met .,wir haben uns schon getroffen .
tom seldom bothers to comb his hair .,"tom macht sich selten die mühe , sich das haar zu kämmen ."
does tom ever wear a hat ?,trägt tom jemals einen hut ?
you ' re unbelievably stupid .,du bist unglaublich dumm .
"ok , i ' ll help .",na gut . ich helfe .
the doctor advised him to cut down on drinking .,"der arzt riet ihm , weniger zu trinken ."
tell tom that i ' m swimming .,"sagen sie tom , dass ich am schwimmen bin ."
tom and mary are a lot alike .,tom und maria sind sich sehr ähnlich .
tom said that he felt relieved .,"tom sagte , dass er erleichtert sei ."
don ' t ever mention his name again .,erwähnen sie nie wieder seinen namen .
i always thought tom was a canadian .,"ich dachte immer , tom wäre kanadier ."
how many books do you have ?,wie viele bücher haben sie ?
will you please go there ?,würdest du bitte dorthin gehen ?
tom talked to mary on the telephone .,tom sprach am telefon mit maria .
the door opened slowly .,die tür öffnete sich langsam .
what ' s tom ' s teacher ' s name ?,wie heißt toms lehrerin ?
that ' s remarkable .,das ist beachtlich .
are you in a good mood ?,bist du gut gelaunt ?
tom tucked his shirt into his pants .,tom steckte sein hemd in die hose .
tom was a friend of my brother ' s .,tom war ein freund meines bruders .
tom lives with his family .,tom wohnt bei seiner familie .
tom is indiscreet .,tom ist indiskret .
tom played the guitar and mary sang .,"tom spielte gitarre , und maria sang ."
she gave him a present .,sie gab ihm ein geschenk .
i no longer live here .,ich wohne hier nicht mehr .
tom doesn ' t seem to understand what we meant .,"tom scheint nicht zu verstehen , was wir meinen ."
i have to take medicine .,ich muss medizin einnehmen .
why do you have a paintbrush in your hand ?,warum haben sie einen pinsel in der hand ?
the news put an end to our hopes .,diese nachricht hat unseren hoffnungen ein ende gesetzt .
do you need this book ?,brauchst du dieses buch ?
tom only thinks about money .,tom denkt nur ans geld .
are you interested in modern art ?,interessieren sie sich für moderne kunst ?
this factory is almost completely automated .,diese fabrik ist fast vollständig automatisiert .
do you have nightmares ?,hast du alpträume ?
tom isn ' t the only person who got arrested .,"tom ist nicht die einzige person , die festgenommen wurde ."
a healthy man does not know the value of health .,ein gesunder mensch kennt nicht den wert der gesundheit .
it ' s raining cats and dogs .,es regnet junge hunde .
you should consider throwing some of this stuff away .,"ihr solltet in erwägung ziehen , einiges von diesem zeug wegzuwerfen ."
slavery was not abolished in the united states until .,die sklaverei wurde in den vereinigten staaten von amerika erst achtzehnhundertfünfundsechzig abgeschafft .
she kept various kinds of pets .,sie hielt sich diverse haustiere .
i eat cornflakes for breakfast .,ich esse maisflocken zum frühstück .
i feel safe with you here .,ich fühle mich hier bei dir sicher .
i am right for once .,ich habe ausnahmsweise recht .
these pillars support the stage .,diese säulen stützen die bühne .
tom bandaged his own leg .,tom verband sich selbst das bein .
he is thirsty for fame .,ihm dürstet es nach ruhm .
the profits were very high .,die profite waren sehr groß .
the book ' s condition ' s not so good .,der zustand des buchs ist nicht so gut .
not everyone can be a poet .,nicht jeder kann ein dichter sein .
why are people afraid of tom ?,warum haben die leute angst vor tom ?
what will you live on while you are there ?,"wovon willst du leben , während du dort bist ?"
your suggestion is worth considering .,dein vorschlag ist der überlegung wert .
you ' re very lucky .,du hast großes glück .
we made fun of tom about this .,wir haben uns deswegen über tom lustig gemacht .
tom walked up to one of the houses and knocked the door .,tom ging an eines der häuser heran und klopfte an die tür .
didn ' t i warn you not to do that ?,habe ich sie nicht davor gewarnt ?
tom brought me a piece of cake .,tom hat mir ein stück kuchen mitgebracht .
tom suspected that mary was lying to him .,"tom hatte den verdacht , dass mary ihn anlog ."
he forgot his own name .,er hat seinen eigenen namen vergessen .
he can be trusted .,man kann auf ihn zählen .
no one came with me .,niemand kam mit mir .
are you a real policeman ?,sind sie ein echter polizist ?
would you mind if i turned on the light ?,"würde es dir etwas ausmachen , wenn ich das licht einschalten würde ?"
you may have been right .,vielleicht hattest du recht .
could you be more specific ?,könntet ihr etwas genauer sein ?
have you been together for long ?,seit ihr schon lange zusammen ?
catch me .,fang mich !
you ' re doing great .,du machst das großartig .
the dog slept on the rug .,der hund hat auf dem teppich geschlafen .
sick people tend to be pessimistic .,kranke leute neigen zu pessimismus .
tom had trouble swallowing the pills .,"es fiel tom schwer , die tabletten zu schlucken ."
what if they ' re wrong ?,"was ist , wenn sie unrecht haben ?"
i prefer quality to quantity .,mir geht qualität vor quantität .
i ' m a big fan of golf .,ich bin ein großer golfsportbegeisterter .
i just ate a cheeseburger .,ich habe gerade einen cheeseburger gegessen .
put down your pencil .,legt euren bleistift hin .
please promise me you won ' t do that again .,"versprich mir bitte , dass du das nicht noch einmal tust !"
you should ' ve done so earlier .,das hättest du eher tun sollen .
did you see a ghost ?,hast du ein gespenst gesehen ?
does anybody know him ?,kennt ihn jemand ?
imagination affects every aspect of our lives .,die fantasie hat auswirkungen auf alle aspekte in unserem leben .
it was difficult to breathe .,es war schwierig zu atmen .
i ' m confident i ' ll be able to do that .,"ich bin zuversichtlich , dass mir das gelingen wird ."
are you free this weekend ?,hast du dieses wochenende frei ?
it takes two hours to get there by bus .,mit dem bus dauert es dorthin zwei stunden .
i ' ll try to be more patient in the future .,"in zukunft werde ich mich bemühen , geduldiger zu sein ."
did you pay in advance ?,hast du im voraus bezahlt ?
nagoya is famous for its castle .,nagoya ist für sein schloss berühmt .
the doctor can see you at ten on may seventh .,der doktor kann sie am siebten mai um zehn uhr untersuchen .
tom said he ' s very happy .,"tom sagte , dass er sehr glücklich ist ."
is there something in particular that you want to eat ?,wollen sie etwas besonderes essen ?
i don ' t think tom has as much money as mary does .,"ich glaube nicht , dass tom so viel geld hat wie maria ."
it was handmade .,es war handgemacht .
do you miss boston ?,vermisst ihr boston ?
many peasants died during the drought .,viele bauern sind während der dürre gestorben .
he behaved badly .,er hat sich schlecht verhalten .
i ' ve learned to cook .,ich habe kochen gelernt .
"i am seventeen years old , too .",ich bin auch siebzehn jahre alt .
you should sing that new song you wrote last week .,"du solltest das neue lied singen , das du letzte woche geschrieben hast ."
i like my job very much .,ich mag meine arbeit sehr gerne .
i just kissed tom .,ich habe gerade tom geküsst .
you should ' ve acted sooner .,du hättest eher handeln sollen .
there are signs of growing tensions between the two countries .,es gibt anzeichen für wachsende spannungen zwischen den beiden ländern .
he framed the picture he had bought on the street .,"er rahmte das bild ein , das er auf der straße gekauft hatte ."
you know this isn ' t fair .,"du weißt , dass das nicht fair ist ."
perhaps our emotions make us who we are .,"vielleicht machen unsere emotionen uns zu dem , was wir sind ."
she carried this table by herself .,sie hat diesen tisch allein getragen .
can i do this ?,kann ich das machen ?
"that ' s better , isn ' t it ?","das ist besser , oder ?"
i ' ve never been arrested .,ich bin noch nie verhaftet worden .
tom still doesn ' t speak french very well .,tom spricht nicht besonders gut französisch .
tom risked everything for love .,tom hat um der liebe willen alles aufs spiel gesetzt .
i think that tom is furious .,"ich denke , dass tom wütend ist ."
"you ' re not very happy , are you ?","du bist nicht sehr glücklich , oder ?"
i like their pictures .,ich mag ihre bilder .
"that ' s important to you , isn ' t it ?","das ist ihnen aber wichtig , was ?"
it is man ' s lot to suffer .,zu leiden ist das schicksal des menschen .
i ' m really happy to see you .,"ich bin wirklich froh , dich zu sehen ."
